Station,Cast,lat,lon
2,1,-75.24,163.91
6,1,-77.1,166.33
10,1,-77.45,171.79
12,1,-77.51,173.7
13,1,-77.55,175.28
14,1,-77.75,176.8
16,1,-77.84,179.8
17,1,-77.87,-178.61
18,1,-78.22,-177.29
19,1,-78.35,-174.51
21,1,-78.42,-172.6
23,1,-78.45,-169.16
25,1,-78.57,-165.51
26,1,-78.64,-163.52
28,1,-78.38,-162.2
29,1,-78.22,-160.91
30,1,-78.01,-159.4
34,1,-76.96,-153.14
35,1,-75.56,-146.54
39,1,-75.09,-146.4
40,1,-72.52,-124.77
41,1,-72.79,-122.49
43,1,-72.62,-120.21
44,1,-71.9,-118.65
45,1,-72.01,-118.44
47,1,-72.32,-116.5
49,1,-73.17,-115
50,1,-73.64,-115.25
51,1,-73.82,-117
52,1,-73.94,-118.71
53,1,-73.98,-118.5
55,1,-74.02,-117.96
56,1,-74.03,-117.75
57,1,-74.04,-117.5
58,1,-73.84,-115.55
60,1,-74.03,-115.91
64,1,-74.18,-113.35
65,1,-74.2,-113.21
66,1,-74.23,-112.87
67,1,-74.23,-112.53
68,1,-74.23,-112.19
69,1,-74.22,-111.94
70,1,-74.38,-110.02
71,1,-74.71,-108.64
72,1,-74.02,-106.33
73,1,-74.21,-105.58
74,1,-74.36,-104.78
76,1,-74.55,-103.18
77,1,-74.98,-103.66
78,1,-74.94,-103.47
79,1,-74.87,-103.21
80,1,-74.8,-102.95
81,1,-74.72,-102.66
82,1,-74.67,-102.41
84,1,-74.78,-105.27
85,1,-73.51,-107.84
86,1,-73.75,-107.01
87,1,-73.87,-107.61
88,1,-74.02,-108.36
89,1,-74.1,-108.61
90,1,-74.22,-109.13
91,1,-74.32,-109.44
92,1,-74.37,-109.79
93,1,-74.06,-112.44
94,1,-73.71,-113.24
95,1,-73.48,-114.32
96,1,-73.83,-123.49
97,1,-72.43,-127.51
99,1,-73,-128.23
101,1,-73.37,-128.24
103,1,-73.85,-127.37
105,1,-74.03,-127.71
107,1,-74.2,-128.1
109,1,-74.37,-129.05
111,1,-74.37,-129.97
113,1,-74.35,-130.93
114,1,-74.47,-133.28
115,1,-74.51,-133.84
117,1,-74.19,-134.48
119,1,-73.72,-134.18
120,1,-73.66,-134.17
121,1,-73.55,-133.01
122,1,-73.61,-132.61
123,1,-73.44,-132.07
125,1,-73.19,-131.01
126,1,-73.07,-130
127,1,-73.01,-129.03
129,1,-72.56,-126.7
131,1,-72.56,-125.81
132,1,-72.7,-123.49
133,1,-72.72,-121.2
134,1,-72.36,-119.25
135,1,-71.79,-117.51
136,1,-71.58,-116.2
137,1,-71.54,-114.99
139,1,-71.51,-114.01
140,1,-71.45,-113.33
142,1,-71.42,-112.17
143,1,-71.32,-111
144,1,-71.24,-110
145,1,-71.2,-108.99
147,1,-71.16,-108
148,1,-71.11,-107.01
149,1,-71.13,-106.01
151,1,-71.15,-105
152,1,-71.11,-104.01
154,1,-71.24,-103.09
155,1,-71.32,-102.02
156,1,-71.13,-101.01
162,1,-71.5,-102.79
163,1,-71.73,-103.05
164,1,-71.9,-103.34
166,1,-71.48,-105
167,1,-71.29,-105.28
