Station,Lat,Lon
20,-73.65527,-104.327
22,-73.71737,-105.75213
23,-73.87852,-107.6098
24,-73.84552,-108.0124
26,-74.00387,-106.14765
37,-75.09173,-101.80327
38,-75.0709,-101.70532
39,-75.05398,-101.66305
40,-75.00088,-101.56496
42,-74.95825,-101.31825
43,-74.85717,-101.1893
44,-74.81708,-101.0861
45,-74.78023,-101.00073
56,-74.89365,-105.34028
57,-74.80825,-105.40395
63,-74.83358,-106.77195
74,-71.53147,-112.74925
75,-71.55667,-112.93537
76,-71.58015,-113.11995
77,-71.59865,-113.30192
78,-71.63603,-113.54982
79,-71.66817,-113.79033
80,-71.69968,-114.04137
81,-71.73142,-114.28355
102,-71.32203,-106.41442
104,-71.31842,-105.3232
105,-71.31403,-104.27302
106,-71.32763,-102.5497
107,-71.32438,-102.88883
108,-71.32043,-102.03242
109,-71.3203,-101.6051
